sn,symbol,ltp,point change,change,open,high,low,volume,close

1,ACLBSL,588.00,-10.00,-1.67,589.00,600.50,580.00,"2,980.00",598.00
2,ADBL,253.50,-2.50,-0.98,259.00,260.00,253.10,"44,028.00",256.00
3,ADBLD83,"1,011.00",1.00,0.10,"1,030.00","1,030.00","1,011.00",200.00,"1,010.00"
4,AHL,387.00,7.00,1.84,380.00,416.00,375.00,"21,482.00",380.00
5,AHPC,236.30,-5.80,-2.40,240.00,249.20,236.30,"116,302.00",242.10
6,AKJCL,208.00,-21.00,-9.17,224.50,232.00,206.10,"220,329.00",229.00
7,AKPL,181.90,-6.30,-3.35,191.90,193.00,180.10,"368,074.00",188.20
8,ALBSL,708.00,-40.00,-5.35,748.00,748.00,696.00,"21,036.00",748.00
9,ALICL,663.00,-8.00,-1.19,663.10,690.00,657.00,"53,130.00",671.00
10,ANLB,"1,798.00",-17.00,-0.94,"1,851.30","1,851.30","1,780.00","3,060.00","1,815.00"
11,API,185.00,-2.50,-1.33,190.00,191.70,184.00,"306,649.00",187.50
12,AVYAN,613.00,-6.00,-0.97,608.10,631.00,608.10,"4,056.00",619.00
13,BARUN,235.00,-9.70,-3.96,249.00,249.50,229.50,"111,727.00",244.70
14,BBC,"4,098.00",-58.10,-1.40,"4,156.10","4,199.00","4,073.10","1,810.00","4,156.10"
15,BEDC,280.00,-2.00,-0.71,278.00,310.00,278.00,"26,036.00",282.00
16,BFC,320.00,-8.00,-2.44,330.00,334.10,319.00,"22,607.00",328.00
17,BGWT,526.20,-31.80,-5.70,550.00,574.90,525.00,"30,713.00",558.00
18,BHDC,415.00,16.00,4.01,400.00,429.20,391.10,"23,284.00",399.00
19,BHL,305.00,0.00,0.00,300.00,311.10,290.00,"67,144.00",305.00
20,BHPL,469.20,40.20,9.37,430.00,469.20,429.00,"11,227.00",429.00
21,BNHC,384.00,-0.90,-0.23,377.30,392.00,371.00,"8,794.00",384.90
22,BNL,"6,362.50",578.40,10.00,"5,899.70","6,362.50","5,899.70",50.00,"5,784.10"
23,BNT,"13,099.00",-1.00,-0.01,"13,340.00","13,362.00","12,900.00",251.00,"13,100.00"
24,BOKD86,874.00,14.00,1.63,874.00,874.00,874.00,10.00,860.00
25,BPCL,308.80,-2.20,-0.71,308.50,313.50,308.00,"23,388.00",311.00
26,BPW,"1,684.40",153.10,10.00,"1,561.90","1,684.40","1,561.90","2,488.00","1,531.30"
27,C30MF,8.80,-0.07,-0.79,8.80,8.97,8.80,"1,200.00",8.87
28,CBBL,906.00,-17.00,-1.84,918.00,935.00,905.00,"21,705.00",923.00
29,CBLD88,971.00,0.00,0.00,990.40,990.40,971.00,220.00,971.00
30,CCBD88,982.20,-8.80,-0.89,982.20,982.20,982.20,25.00,991.00
31,CFCL,343.00,-13.00,-3.65,363.10,363.10,337.00,"15,683.00",356.00
32,CGH,"1,029.00",-67.00,-6.11,"1,085.90","1,085.90","1,001.00","22,728.00","1,096.00"
33,CHCL,513.00,-6.82,-1.31,530.20,530.20,510.00,"57,113.00",519.82
34,CHDC,978.00,8.00,0.82,951.00,995.00,937.00,"20,743.00",970.00
35,CHL,256.00,4.00,1.59,257.00,270.20,250.00,"28,216.00",252.00
36,CIT,"2,211.00",-57.00,-2.51,"2,260.00","2,300.00","2,210.00","45,177.00","2,268.00"
37,CITY,694.00,7.00,1.02,685.00,739.00,678.00,"71,383.00",687.00
38,CIZBD86,967.00,2.00,0.21,967.00,967.00,967.00,25.00,965.00
39,CKHL,363.00,33.00,10.00,335.50,363.00,335.50,"3,090.00",330.00
40,CLI,540.00,9.00,1.69,531.00,566.10,522.00,"214,746.00",531.00
41,CMF1,8.48,-0.14,-1.62,8.57,8.65,8.48,"38,900.00",8.62
42,CMF2,7.69,-0.39,-4.83,7.92,7.92,7.69,800.00,8.08
43,CORBL,353.00,-2.00,-0.56,348.00,360.00,347.90,"7,852.00",355.00
44,CYCL,"1,060.00",-26.00,-2.39,"1,086.00","1,090.00","1,043.70","5,172.00","1,086.00"
45,CZBIL,180.00,-4.00,-2.17,182.00,185.00,180.00,"43,773.00",184.00
46,DDBL,770.00,-15.40,-1.96,770.00,790.00,770.00,"10,556.00",785.40
47,DHPL,176.50,-4.80,-2.65,182.00,185.10,176.50,"33,830.00",181.30
48,DLBS,950.00,-59.80,-5.92,"1,010.00","1,010.00",908.90,"6,038.00","1,009.80"
49,DOLTI,290.00,5.10,1.79,284.00,299.00,281.00,"36,778.00",284.90
50,DORDI,280.00,1.00,0.36,273.50,286.50,266.00,"36,086.00",279.00
51,EBL,521.00,-9.10,-1.72,530.10,530.10,518.20,"28,896.00",530.10
52,EBLD85,"1,005.00",-18.00,-1.76,"1,020.00","1,020.10","1,005.00",490.00,"1,023.00"
53,EDBL,330.00,-9.00,-2.65,335.00,344.00,328.00,"63,927.00",339.00
54,EHPL,365.40,-2.50,-0.68,375.20,389.90,361.10,"16,204.00",367.90
55,ENL,882.80,-7.20,-0.81,906.00,906.00,845.00,"7,289.00",890.00
56,FMDBL,660.00,-6.00,-0.90,679.00,688.00,657.00,"22,488.00",666.00
57,FOWAD,"1,185.00",-40.00,-3.27,"1,220.00","1,220.00","1,172.00","6,746.00","1,225.00"
58,GBBL,412.00,1.00,0.24,419.00,419.00,410.10,"105,789.00",411.00
59,GBILD86/87,853.10,-4.90,-0.57,850.10,853.10,850.10,35.00,858.00
60,GBIME,203.00,-4.00,-1.93,210.00,210.00,201.20,"201,452.00",207.00
61,GBLBS,545.00,-12.00,-2.15,558.00,568.10,543.00,"6,485.00",557.00
62,GCIL,572.00,-3.00,-0.52,580.00,614.00,565.00,"383,292.00",575.00
63,GFCL,438.00,-15.20,-3.35,444.20,451.90,437.00,"17,765.00",453.20
